"","month","Mean"
"1","01-01",75.368
"2","01-02",75.018
"3","01-03",74.526
"4","01-04",74.028
"5","01-05",73.494
"6","01-06",72.952
"7","01-07",72.328
"8","01-08",71.708
"9","01-09",71.06
"10","01-10",70.414
"11","01-11",69.774
"12","01-12",69.176
"13","01-13",68.632
"14","01-14",68.084
"15","01-15",67.418
"16","01-16",66.74
"17","01-17",66.03
"18","01-18",65.222
"19","01-19",64.478
"20","01-20",63.766
"21","01-21",63.118
"22","01-22",62.424
"23","01-23",61.672
"24","01-24",60.972
"25","01-25",60.192
"26","01-26",59.558
"27","01-27",59.024
"28","01-28",58.542
"29","01-29",58.06
"30","01-30",57.506
"31","01-31",56.99
"32","02-01",56.52
"33","02-02",56.11
"34","02-03",55.728
"35","02-04",55.29
"36","02-05",54.738
"37","02-06",54.098
"38","02-07",53.502
"39","02-08",52.82
"40","02-09",52.138
"41","02-10",51.508
"42","02-11",50.95
"43","02-12",50.374
"44","02-13",49.734
"45","02-14",49.176
"46","02-15",48.74
"47","02-16",48.448
"48","02-17",48.198
"49","02-18",47.944
"50","02-19",47.628
"51","02-20",47.292
"52","02-21",46.338
"53","02-22",45.984
"54","02-23",45.688
"55","02-24",45.402
"56","02-25",45.096
"57","02-26",44.714
"58","02-27",44.25
"59","02-28",43.768
"60","02-29",78.12
"61","03-01",43.306
"62","03-02",42.824
"63","03-03",42.494
"64","03-04",42.248
"65","03-05",41.954
"66","03-06",41.688
"67","03-07",41.452
"68","03-08",41.192
"69","03-09",40.986
"70","03-10",40.878
"71","03-11",40.822
"72","03-12",40.756
"73","03-13",40.648
"74","03-14",40.5
"75","03-15",40.426
"76","03-16",40.354
"77","03-17",40.232
"78","03-18",40.076
"79","03-19",39.872
"80","03-20",39.638
"81","03-21",39.524
"82","03-22",39.326
"83","03-23",39.18
"84","03-24",39.132
"85","03-25",39.078
"86","03-26",39.024
"87","03-27",38.994
"88","03-28",39.04
"89","03-29",39.004
"90","03-30",39.126
"91","03-31",38.998
"92","04-01",39.882
"93","04-02",40.016
"94","04-03",40.11
"95","04-04",40.118
"96","04-05",40.164
"97","04-06",40.192
"98","04-07",42.2016666666667
"99","04-08",42.2683333333333
"100","04-09",42.37
"101","04-10",42.4683333333333
"102","04-11",42.555
"103","04-12",42.5833333333333
"104","04-13",42.565
"105","04-14",42.5483333333333
"106","04-15",42.5816666666667
"107","04-16",42.6766666666667
"108","04-17",42.8183333333333
"109","04-18",42.9983333333333
"110","04-19",43.2266666666667
"111","04-20",43.425
"112","04-21",43.7033333333333
"113","04-22",43.9933333333333
"114","04-23",44.2016666666667
"115","04-24",44.4216666666667
"116","04-25",44.6333333333333
"117","04-26",44.4933333333333
"118","04-27",44.61
"119","04-28",44.7516666666667
"120","04-29",44.8933333333333
"121","04-30",45.065
"122","05-01",45.2833333333333
"123","05-02",45.4416666666667
"124","05-03",45.5733333333333
"125","05-04",45.7216666666667
"126","05-05",45.8816666666667
"127","05-06",46.04
"128","05-07",46.2766666666667
"129","05-08",46.5816666666667
"130","05-09",46.9216666666667
"131","05-10",47.2866666666667
"132","05-11",47.6016666666667
"133","05-12",47.865
"134","05-13",48.15
"135","05-14",48.4416666666667
"136","05-15",48.695
"137","05-16",48.9516666666667
"138","05-17",49.215
"139","05-18",49.4966666666667
"140","05-19",49.78
"141","05-20",50.1083333333333
"142","05-21",50.5133333333333
"143","05-22",50.9116666666667
