"","month","Max"
"1","01-01",96.91
"2","01-02",96.53
"3","01-03",96.28
"4","01-04",96.12
"5","01-05",95.94
"6","01-06",95.63
"7","01-07",95.25
"8","01-08",94.86
"9","01-09",94.69
"10","01-10",94.54
"11","01-11",94.34
"12","01-12",94.09
"13","01-13",93.83
"14","01-14",93.64
"15","01-15",93.43
"16","01-16",93.19
"17","01-17",92.92
"18","01-18",92.64
"19","01-19",92.26
"20","01-20",91.6
"21","01-21",90.91
"22","01-22",90.27
"23","01-23",89.56
"24","01-24",88.86
"25","01-25",88.37
"26","01-26",87.98
"27","01-27",87.59
"28","01-28",87.02
"29","01-29",86.51
"30","01-30",86.04
"31","01-31",85.88
"32","02-01",85.84
"33","02-02",85.77
"34","02-03",85.46
"35","02-04",85.08
"36","02-05",84.59
"37","02-06",83.83
"38","02-07",83.39
"39","02-08",83.04
"40","02-09",82.91
"41","02-10",82.69
"42","02-11",82.38
"43","02-12",81.98
"44","02-13",81.59
"45","02-14",81.34
"46","02-15",81.29
"47","02-16",81.31
"48","02-17",81.13
"49","02-18",80.89
"50","02-19",80.68
"51","02-20",80.48
"52","02-21",80.28
"53","02-22",80.22
"54","02-23",80.18
"55","02-24",79.95
"56","02-25",79.76
"57","02-26",79.34
"58","02-27",78.73
"59","02-28",78.17
"60","02-29",78.12
"61","03-01",77.95
"62","03-02",77.36
"63","03-03",77.1
"64","03-04",76.78
"65","03-05",76.39
"66","03-06",76.16
"67","03-07",75.98
"68","03-08",75.94
"69","03-09",75.71
"70","03-10",75.56
"71","03-11",75.51
"72","03-12",75.48
"73","03-13",75.31
"74","03-14",75.12
"75","03-15",75.06
"76","03-16",74.94
"77","03-17",74.83
"78","03-18",74.76
"79","03-19",74.59
"80","03-20",74.44
"81","03-21",74.28
"82","03-22",74.12
"83","03-23",73.72
"84","03-24",73.39
"85","03-25",73.03
"86","03-26",72.7
"87","03-27",72.55
"88","03-28",72.59
"89","03-29",72.52
"90","03-30",72.14
"91","03-31",71.55
"92","04-01",72.53
"93","04-02",72.37
"94","04-03",72.26
"95","04-04",72.33
"96","04-05",72.5
"97","04-06",72.66
"98","04-07",72.82
"99","04-08",72.98
"100","04-09",73.19
"101","04-10",73.46
"102","04-11",73.78
"103","04-12",74.17
"104","04-13",74.42
"105","04-14",74.42
"106","04-15",74.45
"107","04-16",74.6
"108","04-17",74.78
"109","04-18",75.2
"110","04-19",75.61
"111","04-20",75.84
"112","04-21",76.11
"113","04-22",76.38
"114","04-23",76.58
"115","04-24",76.83
"116","04-25",77.14
"117","04-26",77.42
"118","04-27",77.54
"119","04-28",77.68
"120","04-29",77.9
"121","04-30",78.18
"122","05-01",78.48
"123","05-02",78.78
"124","05-03",79.06
"125","05-04",79.2
"126","05-05",79.3
"127","05-06",79.4
"128","05-07",79.58
"129","05-08",79.97
"130","05-09",80.47
"131","05-10",80.99
"132","05-11",81.25
"133","05-12",81.11
"134","05-13",81.13
"135","05-14",81.17
"136","05-15",81.27
"137","05-16",81.52
"138","05-17",81.87
"139","05-18",82.11
"140","05-19",82.28
"141","05-20",82.46
"142","05-21",82.78
"143","05-22",83.19
"144","05-23",83.55
"145","05-24",83.84
"146","05-25",84.12
"147","05-26",84.27
"148","05-27",84.27
"149","05-28",84.22
"150","05-29",84.28
"151","05-30",84.53
"152","05-31",84.77
"153","06-01",85.03
"154","06-02",85.17
"155","06-03",85.31
"156","06-04",85.43
"157","06-05",85.5
"158","06-06",85.71
"159","06-07",85.9
"160","06-08",85.69
"161","06-09",85.73
"162","06-10",85.72
"163","06-11",85.85
"164","06-12",86.03
"165","06-13",86.32
"166","06-14",86.65
"167","06-15",86.83
"168","06-16",86.92
"169","06-17",86.98
"170","06-18",87.05
"171","06-19",87.15
"172","06-20",87.39
"173","06-21",87.67
"174","06-22",87.77
"175","06-23",87.87
"176","06-24",87.94
"177","06-25",88.03
"178","06-26",88.15
"179","06-27",88.37
"180","06-28",88.59
"181","06-29",88.7
"182","06-30",88.85
"183","07-01",88.94
"184","07-02",88.98
"185","07-03",89.25
"186","07-04",89.58
"187","07-05",89.91
"188","07-06",89.95
"189","07-07",89.92
"190","07-08",89.89
"191","07-09",89.8
"192","07-10",89.85
"193","07-11",89.98
"194","07-12",90.2
"195","07-13",90.33
"196","07-14",90.25
"197","07-15",90.09
"198","07-16",89.93
"199","07-17",89.8
"200","07-18",89.72
"201","07-19",89.66
"202","07-20",89.51
"203","07-21",89.27
"204","07-22",88.94
"205","07-23",88.72
"206","07-24",88.55
"207","07-25",88.42
"208","07-26",88.63
"209","07-27",88.7
"210","07-28",88.76
"211","07-29",88.87
"212","07-30",88.88
"213","07-31",88.95
"214","08-01",89.17
"215","08-02",89.39
"216","08-03",89.52
"217","08-04",89.61
"218","08-05",89.78
"219","08-06",89.88
"220","08-07",90.04
"221","08-08",90.29
"222","08-09",90.53
"223","08-10",90.71
"224","08-11",91.16
"225","08-12",91.44
"226","08-13",91.64
"227","08-14",91.8
"228","08-15",92.05
"229","08-16",92.33
"230","08-17",92.73
"231","08-18",93.13
"232","08-19",93.49
"233","08-20",93.73
"234","08-21",93.94
"235","08-22",94.13
"236","08-23",94.36
"237","08-24",94.61
"238","08-25",94.88
"239","08-26",95
"240","08-27",95.17
"241","08-28",95.29
"242","08-29",95.27
"243","08-30",95.43
"244","08-31",95.72
"245","09-01",96
"246","09-02",96.16
"247","09-03",96.34
"248","09-04",96.51
"249","09-05",96.61
"250","09-06",96.62
"251","09-07",96.66
"252","09-08",96.72
"253","09-09",96.64
"254","09-10",96.67
"255","09-11",96.7
"256","09-12",96.77
"257","09-13",96.83
"258","09-14",96.96
"259","09-15",97.12
"260","09-16",97.18
"261","09-17",97.22
"262","09-18",97.22
"263","09-19",97.15
"264","09-20",97.15
"265","09-21",97.24
"266","09-22",97.36
"267","09-23",97.4
"268","09-24",97.41
"269","09-25",97.38
"270","09-26",97.41
"271","09-27",97.5
"272","09-28",97.69
"273","09-29",97.92
"274","09-30",98.02
"275","10-01",98.37
"276","10-02",98.44
"277","10-03",98.49
"278","10-04",98.48
"279","10-05",98.56
"280","10-06",98.66
"281","10-07",98.67
"282","10-08",98.67
"283","10-09",98.68
"284","10-10",98.69
"285","10-11",98.69
"286","10-12",98.8
"287","10-13",98.97
"288","10-14",99.05
"289","10-15",99.1
"290","10-16",99.12
"291","10-17",99.13
"292","10-18",99.15
"293","10-19",99.24
"294","10-20",99.34
"295","10-21",99.37
"296","10-22",99.37
"297","10-23",99.37
"298","10-24",99.39
"299","10-25",99.42
"300","10-26",99.57
"301","10-27",99.66
"302","10-28",99.64
"303","10-29",99.56
"304","10-30",99.45
"305","10-31",99.29
"306","11-01",99.25
"307","11-02",99.42
"308","11-03",99.58
"309","11-04",99.65
"310","11-05",99.61
"311","11-06",99.54
"312","11-07",99.6
"313","11-08",99.59
"314","11-09",99.64
"315","11-10",99.65
"316","11-11",99.59
"317","11-12",99.5
"318","11-13",99.36
"319","11-14",99.3
"320","11-15",99.25
"321","11-16",99.27
"322","11-17",99.29
"323","11-18",99.24
"324","11-19",99.14
"325","11-20",98.95
"326","11-21",98.71
"327","11-22",98.66
"328","11-23",98.74
"329","11-24",98.81
"330","11-25",98.74
"331","11-26",98.71
"332","11-27",98.78
"333","11-28",98.84
"334","11-29",98.83
"335","11-30",98.73
"336","12-01",98.59
"337","12-02",98.47
"338","12-03",98.43
"339","12-04",98.36
"340","12-05",98.19
"341","12-06",98.02
"342","12-07",98.09
"343","12-08",98.23
"344","12-09",98.19
"345","12-10",98.01
"346","12-11",97.82
"347","12-12",97.66
"348","12-13",97.5
"349","12-14",97.5
"350","12-15",97.54
"351","12-16",97.48
"352","12-17",97.42
"353","12-18",97.33
"354","12-19",97.33
"355","12-20",97.33
"356","12-21",97.37
"357","12-22",97.41
"358","12-23",97.43
"359","12-24",97.47
"360","12-25",97.52
"361","12-26",97.56
"362","12-27",97.51
"363","12-28",97.45
"364","12-29",97.37
"365","12-30",97.24
"366","12-31",97.14
