"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"1","2022-09-09",214.3366,87.56,0.32,995.2735,21.54,808.01,33.2,244.7858,4016.12,6888.26,"2022","09-09"
"2","2022-09-08",213.536,87.23,0.29,995.2735,21.46,777.46,75.9,244.7858,4016.12,6888.26,"2022","09-08"
"3","2022-09-07",212.8356,86.95,0.1,995.2735,21.38,654.83,402,244.7858,4016.12,6888.26,"2022","09-07"
"4","2022-09-06",212.5791,86.84,0.34,995.2735,21.36,988.15,151,244.7858,4016.12,6888.26,"2022","09-06"
"5","2022-09-05",211.7441,86.5,0.4,995.2735,21.27,1074,88.1,244.7858,4016.12,6888.26,"2022","09-05"
"6","2022-09-04",210.7435,86.1,0.54,995.2735,21.17,1337.32,12.9,244.7793,4015.98,6887.98,"2022","09-04"
"7","2022-09-03",209.4177,85.55,0.54,995.2735,21.04,1324.73,12.9,244.7793,4015.98,6887.98,"2022","09-03"
"8","2022-09-02",208.1153,85.02,0.49,995.2735,20.91,1236.26,32,244.7793,4015.98,6887.98,"2022","09-02"
"9","2022-09-01",206.9168,84.53,0.24,995.2735,20.79,909.87,324,244.7793,4015.98,6887.98,"2022","09-01"
"10","2022-08-31",206.1727,84.26,0.25,995.2735,20.72,964.79,353.6,244.6793,4015.98,6887.98,"2022","08-31"
"11","2022-08-30",205.6114,84.03,0.36,995.2735,20.66,1044.39,151.7,244.6793,4015.98,6887.98,"2022","08-30"
"12","2022-08-29",204.7187,83.67,0.39,995.2735,20.57,1022.09,65,244.6793,4015.98,6887.98,"2022","08-29"
"13","2022-08-28",203.7719,83.27,0.53,995.2735,20.47,1305.81,16.8,244.7088,4015.05,6887.02,"2022","08-28"
"14","2022-08-27",202.5007,82.75,0.55,995.2735,20.35,1354.23,11.4,244.7088,4015.05,6887.02,"2022","08-27"
