"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"2079","2016-12-31",166.6578,67.03,-0.56,0,0,15.53,1407.7,248.6367,3824.59,6555.73,"2016","12-31"
"2080","2016-12-30",167.8047,67.49,-0.61,0,0,12.76,1530.2,248.6367,3824.7,6555.73,"2016","12-30"
"2081","2016-12-29",169.3189,68.1,-0.48,0,0,10.48,1214.2,248.6367,3824.78,6555.73,"2016","12-29"
"2082","2016-12-28",170.524,68.58,-0.37,0,0,16.05,942.3,248.6367,3824.8,6555.73,"2016","12-28"
"2083","2016-12-27",171.4561,68.96,-0.35,0,0,75.69,944,248.6367,3824.82,6555.73,"2016","12-27"
"2084","2016-12-26",172.3366,69.31,-0.11,0,0,176.75,445.8,248.6367,3824.84,6555.73,"2016","12-26"
"2085","2016-12-25",172.6308,69.43,-0.02,0,0,236.48,288.8,248.6391,3824.88,6555.78,"2016","12-25"
"2086","2016-12-24",172.6621,69.44,-0.17,0,0,131.96,543.6,248.6391,3824.9,6555.78,"2016","12-24"
"2087","2016-12-23",173.0863,69.61,-0.35,0,0,35.34,910.3,248.6391,3824.94,6555.78,"2016","12-23"
"2088","2016-12-22",173.9758,69.97,-0.49,0,0,15.16,1242.9,248.6391,3825.02,6555.78,"2016","12-22"
"2089","2016-12-21",175.2333,70.48,-0.64,0,0,16.31,1603.3,248.6391,3825.13,6555.78,"2016","12-21"
"2090","2016-12-20",176.8435,71.12,-0.73,0,0,11.97,1833.1,248.6391,3825.22,6555.78,"2016","12-20"
"2091","2016-12-19",178.6676,71.86,-0.6,0,0,14.65,1494.4,248.6391,3825.31,6555.78,"2016","12-19"
"2092","2016-12-18",180.1517,72.46,-0.36,0,0,21.68,928.3,248.6255,3825.2,6555.47,"2016","12-18"
"2093","2016-12-17",181.0513,72.82,-0.45,0,0,16.19,1137.6,248.6255,3825.27,6555.47,"2016","12-17"
"2094","2016-12-16",182.1852,73.28,-0.56,0,0,15.12,1414.9,248.6255,3825.36,6555.47,"2016","12-16"
